x,AM0,AM0C,AM15,AM15C,
1096,5.86E-01,1117.755368,4.77E-01,739.2315316,\\
1097,5.91E-01,1118.346368,5.48E-01,739.7795316,\\
1098,5.87E-01,1118.933368,4.77E-01,740.2565316,\\
1099,5.82E-01,1119.515368,4.82E-01,740.7385316,\\
1100,6.00E-01,1120.115368,4.61E-01,741.1995316,\\
1101,5.99E-01,1120.714368,4.72E-01,741.6715316,\\
1102,5.82E-01,1121.296368,4.45E-01,742.1165316,\\
1103,5.95E-01,1121.891368,4.43E-01,742.5595316,\\
1104,5.93E-01,1122.484368,4.44E-01,743.0035316,\\
1105,5.91E-01,1123.075368,4.81E-01,743.4845316,\\
1106,5.90E-01,1123.665368,3.78E-01,743.8625316,\\
1107,5.86E-01,1124.251368,4.59E-01,744.3215316,\\
1108,5.87E-01,1124.838368,3.95E-01,744.7165316,\\
1109,5.86E-01,1125.424368,3.92E-01,745.1085316,\\
1110,5.87E-01,1126.011368,4.55E-01,745.5635316,\\
1111,5.83E-01,1126.594368,3.16E-01,745.8795316,\\
1112,5.83E-01,1127.177368,3.93E-01,746.2725316,\\
1113,5.78E-01,1127.755368,2.56E-01,746.5285316,\\
1114,5.84E-01,1128.339368,2.86E-01,746.8145316,\\
1115,5.82E-01,1128.921368,2.38E-01,747.0525316,\\
1116,5.75E-01,1129.496368,1.92E-01,747.2445316,\\
1117,5.83E-01,1130.079368,7.62E-02,747.3207316,\\
1118,5.72E-01,1130.651368,2.08E-01,747.5287316,\\
1119,5.72E-01,1131.223368,1.08E-01,747.6367316,\\
