P,T,hf,hfg9010,hfg8020,hfg7030,hfg6040,hfg5050,hfg4060,hfg3070,hfg2080,hfg1090,hg,sf,sfg9010,sfg8020,sfg7030,sfg6040,sfg5050,sfg4060,sfg3070,sfg2080,sfg1090,sg
900,35.526,101.63,118.395,135.16,151.925,168.69,185.455,202.22,218.985,235.75,252.515,269.28,0.37388,0.42819,0.4825,0.53681,0.59112,0.64543,0.69974,0.75405,0.80836,0.86267,0.91698
910,35.926,102.22,118.944,135.668,152.392,169.116,185.84,202.564,219.288,236.012,252.736,269.46,0.37578,0.42989,0.484,0.53811,0.59222,0.64633,0.70044,0.75455,0.80866,0.86277,0.91688
920,36.323,102.8,119.484,136.168,152.852,169.536,186.22,202.904,219.588,236.272,252.956,269.64,0.37758,0.43149,0.4854,0.53931,0.59322,0.64713,0.70104,0.75495,0.80886,0.86277,0.91668
930,36.717,103.38,120.024,136.668,153.312,169.956,186.6,203.244,219.888,236.532,253.176,269.82,0.37948,0.43319,0.4869,0.54061,0.59432,0.64803,0.70174,0.75545,0.80916,0.86287,0.91658
940,37.108,103.96,120.564,137.168,153.772,170.376,186.98,203.584,220.188,236.792,253.396,270,0.38128,0.4348,0.48832,0.54184,0.59536,0.64888,0.7024,0.75592,0.80944,0.86296,0.91648
950,37.495,104.54,121.103,137.666,154.229,170.792,187.355,203.918,220.481,237.044,253.607,270.17,0.38308,0.4364,0.48972,0.54304,0.59636,0.64968,0.703,0.75632,0.80964,0.86296,0.91628
960,37.879,105.1,121.625,138.15,154.675,171.2,187.725,204.25,220.775,237.3,253.825,270.35,0.38488,0.43801,0.49114,0.54427,0.5974,0.65053,0.70366,0.75679,0.80992,0.86305,0.91618
970,38.261,105.67,122.155,138.64,155.125,171.61,188.095,204.58,221.065,237.55,254.035,270.52,0.38668,0.43962,0.49256,0.5455,0.59844,0.65138,0.70432,0.75726,0.8102,0.86314,0.91608
980,38.639,106.23,122.675,139.12,155.565,172.01,188.455,204.9,221.345,237.79,254.235,270.68,0.38848,0.44122,0.49396,0.5467,0.59944,0.65218,0.70492,0.75766,0.8104,0.86314,0.91588
990,39.015,106.79,123.196,139.602,156.008,172.414,188.82,205.226,221.632,238.038,254.444,270.85,0.39028,0.44283,0.49538,0.54793,0.60048,0.65303,0.70558,0.75813,0.81068,0.86323,0.91578
1000,39.388,107.35,123.716,140.082,156.448,172.814,189.18,205.546,221.912,238.278,254.644,271.01,0.39198,0.44435,0.49672,0.54909,0.60146,0.65383,0.7062,0.75857,0.81094,0.86331,0.91568
1050,41.21,110.07,126.243,142.416,158.589,174.762,190.935,207.108,223.281,239.454,255.627,271.8,0.40058,0.45202,0.50346,0.5549,0.60634,0.65778,0.70922,0.76066,0.8121,0.86354,0.91498
1100,42.969,112.72,128.702,144.684,160.666,176.648,192.63,208.612,224.594,240.576,256.558,272.54,0.40878,0.45934,0.5099,0.56046,0.61102,0.66158,0.71214,0.7627,0.81326,0.86382,0.91438
1150,44.669,115.29,131.085,146.88,162.675,178.47,194.265,210.06,225.855,241.65,257.445,273.24,0.41678,0.46648,0.51618,0.56588,0.61558,0.66528,0.71498,0.76468,0.81438,0.86408,0.91378
1200,46.315,117.8,133.409,149.018,164.627,180.236,195.845,211.454,227.063,242.672,258.281,273.89,0.42448,0.47334,0.5222,0.57106,0.61992,0.66878,0.71764,0.7665,0.81536,0.86422,0.91308
1250,47.909,120.24,135.667,151.094,166.521,181.948,197.375,212.802,228.229,243.656,259.083,274.51,0.43198,0.48003,0.52808,0.57613,0.62418,0.67223,0.72028,0.76833,0.81638,0.86443,0.91248
1300,49.457,122.63,137.876,153.122,168.368,183.614,198.86,214.106,229.352,244.598,259.844,275.09,0.43928,0.48654,0.5338,0.58106,0.62832,0.67558,0.72284,0.7701,0.81736,0.86462,0.91188
1350,50.96,124.97,140.036,155.102,170.168,185.234,200.3,215.366,230.432,245.498,260.564,275.63,0.44638,0.49286,0.53934,0.58582,0.6323,0.67878,0.72526,0.77174,0.81822,0.8647,0.91118
1400,52.422,127.25,142.14,157.03,171.92,186.81,201.7,216.59,231.48,246.37,261.26,276.15,0.45328,0.49901,0.54474,0.59047,0.6362,0.68193,0.72766,0.77339,0.81912,0.86485,0.91058
1450,53.846,129.49,144.204,158.918,173.632,188.346,203.06,217.774,232.488,247.202,261.916,276.63,0.45998,0.50498,0.54998,0.59498,0.63998,0.68498,0.72998,0.77498,0.81998,0.86498,0.90998
1500,55.233,131.69,146.229,160.768,175.307,189.846,204.385,218.924,233.463,248.002,262.541,277.08,0.46658,0.51085,0.55512,0.59939,0.64366,0.68793,0.7322,0.77647,0.82074,0.86501,0.90928
1550,56.586,133.85,148.215,162.58,176.945,191.31,205.675,220.04,234.405,248.77,263.135,277.5,0.47298,0.51654,0.5601,0.60366,0.64722,0.69078,0.73434,0.7779,0.82146,0.86502,0.90858
1600,57.906,135.96,150.153,164.346,178.539,192.732,206.925,221.118,235.311,249.504,263.697,277.89,0.47918,0.52206,0.56494,0.60782,0.6507,0.69358,0.73646,0.77934,0.82222,0.8651,0.90798
1650,59.195,138.05,152.071,166.092,180.113,194.134,208.155,222.176,236.197,250.218,264.239,278.26,0.48538,0.52757,0.56976,0.61195,0.65414,0.69633,0.73852,0.78071,0.8229,0.86509,0.90728
1700,60.456,140.1,153.95,167.8,181.65,195.5,209.35,223.2,237.05,250.9,264.75,278.6,0.49138,0.5329,0.57442,0.61594,0.65746,0.69898,0.7405,0.78202,0.82354,0.86506,0.90658
1750,61.689,142.12,155.8,169.48,183.16,196.84,210.52,224.2,237.88,251.56,265.24,278.92,0.49728,0.53813,0.57898,0.61983,0.66068,0.70153,0.74238,0.78323,0.82408,0.86493,0.90578
1800,62.895,144.11,157.62,171.13,184.64,198.15,211.66,225.17,238.68,252.19,265.7,279.21,0.50308,0.54328,0.58348,0.62368,0.66388,0.70408,0.74428,0.78448,0.82468,0.86488,0.90508
